id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
70,15.46,2.50,1599,2004,406,Truck,1,389.17,23.77,24.18,24.03,21.66,0.89,-1.00,0
71,4.45,2.22,1631,1849,219,Car,1,402.16,44.91,46.82,46.15,47.48,1.05,4.03,0
72,4.95,2.32,1646,1908,263,Car,2,410.31,37.93,40.16,39.18,193.12,4.91,53.53,0
73,4.45,2.02,1656,1923,268,Car,2,411.37,36.52,40.26,38.54,12.17,0.33,345.13,0
74,4.65,2.02,1730,2003,274,Car,1,408.51,36.87,37.67,37.43,173.41,4.61,-1.00,0
75,4.75,2.02,1744,2088,345,Car,2,410.90,29.28,30.28,29.87,95.72,3.19,16.66,1
76,6.06,2.73,1761,2120,360,Car,1,409.25,27.94,28.97,28.51,104.22,3.70,23.85,0
77,4.55,2.02,1767,2066,300,Car,1,408.75,33.24,34.73,34.20,51.28,1.54,-1.00,0
78,4.65,2.02,1833,2108,276,Car,1,409.65,35.16,38.18,37.25,55.33,1.53,18.97,0
79,11.93,2.50,1912,2310,399,Truck,1,393.31,24.47,24.86,24.71,162.24,6.52,-1.00,0
80,3.84,1.82,1936,2230,295,Car,2,409.97,33.96,35.69,34.88,197.13,5.64,41.89,0
81,4.35,2.12,1987,2275,289,Car,1,403.21,34.67,35.17,35.02,230.37,6.56,42091.10,0
82,3.64,1.82,1996,2315,320,Car,2,410.84,31.54,33.05,32.21,372.24,11.80,50.78,0
83,4.85,2.12,2001,2291,291,Car,1,402.77,33.64,35.74,34.73,14.25,0.41,23.77,0
84,8.59,2.50,2022,2446,425,Truck,1,396.79,23.17,23.57,23.40,100.59,4.29,-1.00,0
85,4.45,2.02,2024,2329,306,Car,2,411.17,32.81,34.73,33.72,116.88,3.44,-1.00,0
86,4.95,2.12,2077,2324,248,Car,1,410.33,40.42,43.04,41.55,42.22,1.03,7.36,0
87,7.07,2.50,2093,2491,399,Truck,2,408.64,25.22,26.00,25.68,114.11,4.52,-1.00,0
88,9.30,2.50,2113,2565,453,Truck,1,407.30,22.06,22.75,22.53,75.23,3.32,-1.00,0
89,4.75,2.02,2115,2379,265,Car,1,410.89,37.93,39.39,38.94,60.30,1.56,-1.00,0
90,4.65,1.92,2118,2434,317,Car,2,410.74,31.19,33.80,32.51,122.86,3.94,668.45,0
91,5.05,2.02,2162,2462,301,Car,2,402.40,33.26,33.84,33.55,39.40,1.18,26.12,0
92,7.58,2.50,2182,2660,479,Truck,1,408.74,21.00,21.88,21.39,56.11,2.56,-1.00,0
93,4.45,1.92,2184,2422,239,Car,1,409.64,41.62,43.98,43.06,68.34,1.62,16.27,0
94,3.74,1.82,2186,2563,378,Car,2,410.41,26.88,28.37,27.23,75.65,2.74,48.29,0
95,3.74,1.92,2223,2530,308,Car,1,410.93,30.60,36.19,33.49,64.22,2.10,-1.00,0
96,16.88,2.50,2231,2707,477,Truck,1,408.92,20.67,22.21,21.48,19.23,0.90,34.52,0
97,4.85,2.02,2247,2554,308,Car,2,410.48,32.33,35.48,33.45,105.82,3.09,66.64,0
98,3.84,1.77,2255,2591,337,Car,1,410.74,30.34,31.13,30.58,35.31,1.16,-1.00,0
99,4.35,2.12,2293,2640,348,Car,1,410.50,28.89,30.61,29.59,24.84,0.82,2.99,1
100,5.26,2.12,2314,2623,310,Car,2,411.32,32.53,33.76,33.30,75.59,2.27,14.48,0
101,4.55,2.02,2350,2670,321,Car,1,410.86,29.59,34.16,32.11,31.26,1.04,13.53,1
102,4.65,2.02,2399,2695,297,Car,1,409.62,31.70,37.69,34.61,28.05,0.87,11.40,0
103,5.96,3.03,2448,2924,477,Truck,2,408.44,20.93,21.90,21.46,168.42,8.04,-1.00,0
104,14.25,2.50,2523,2994,472,Truck,2,407.94,21.20,21.81,21.66,46.90,2.15,131.57,0
105,4.85,2.12,2537,2779,243,Car,1,410.50,39.55,44.53,42.42,131.55,3.15,13.08,0
106,4.65,1.92,2543,2798,256,Car,1,402.06,37.63,39.90,39.45,145.04,3.66,7.65,0
107,4.45,2.12,2586,2837,252,Car,1,409.48,38.03,42.62,40.80,81.82,1.92,-1.00,0
108,19.61,2.50,2597,3069,473,Truck,2,409.24,21.14,21.85,21.68,44.56,2.08,97.94,0
109,4.35,2.02,2599,2927,329,Car,2,410.65,29.69,32.08,31.31,-1.00,-1.00,-1.00,0
110,4.75,1.92,2601,2904,304,Car,1,410.42,32.76,34.32,33.88,87.03,2.53,-1.00,0
111,4.85,2.02,2634,2869,236,Car,1,409.03,40.23,46.56,43.54,46.71,1.14,15.67,0
112,4.85,2.12,2655,2879,225,Car,1,400.64,40.06,47.47,44.73,19.76,0.48,11.23,0
113,4.75,2.02,2656,2941,286,Car,1,408.76,35.72,36.08,35.87,48.12,1.34,16.16,0
114,4.55,1.92,2733,2994,262,Car,1,408.50,37.47,39.79,39.16,77.23,1.98,20.81,0
115,4.85,2.02,2779,3009,231,Car,1,410.33,42.98,45.30,44.62,221.22,4.94,46.65,0
116,4.04,1.82,2780,3089,310,Car,2,411.71,32.42,34.30,33.33,12.55,0.37,6.92,1
117,4.45,1.82,2788,3063,276,Car,2,411.22,36.84,38.11,37.41,200.49,5.36,38.00,0
118,4.24,1.92,2837,3142,306,Car,1,409.00,32.58,35.55,33.54,95.83,2.69,-1.00,1
119,15.77,2.50,2851,3270,420,Truck,1,388.97,22.98,23.37,23.22,33.13,1.41,-1.00,0
120,4.24,2.02,2852,3145,294,Car,2,410.44,34.33,35.58,35.04,74.77,2.13,45.07,0
121,16.67,2.50,2959,3399,441,Truck,1,406.43,22.83,23.27,23.10,82.55,3.56,424.08,0
122,16.78,2.50,3019,3463,445,Truck,2,410.41,22.54,23.54,23.11,346.34,15.22,362.02,0
123,4.90,2.22,3048,3262,215,Car,1,409.37,47.07,48.59,47.86,-1.00,-1.00,-1.00,0
124,16.57,2.50,3065,3505,441,Truck,2,411.00,22.14,23.70,23.36,23.31,0.99,63.79,0
125,5.26,2.32,3119,3476,358,Car,1,400.81,27.62,29.41,28.08,91.60,3.22,16.67,0
126,4.35,2.12,3124,3399,276,Car,1,408.28,36.68,37.45,37.13,140.74,3.77,-1.00,0
127,5.26,2.22,3144,3413,270,Car,1,409.61,35.69,41.10,38.08,13.12,0.35,6.73,0
128,7.88,2.83,3261,3626,366,Car,2,410.63,27.74,28.76,28.14,129.90,4.59,27.96,0
129,4.85,2.02,3266,3515,250,Car,1,396.57,37.98,40.52,39.83,53.87,1.38,5.58,1
130,4.85,2.12,3295,3610,316,Car,2,410.59,32.23,33.43,32.61,-1.00,-1.00,-1.00,0
131,17.89,2.50,3317,3732,416,Truck,2,409.46,24.14,24.98,24.67,43.49,1.80,-1.00,0
132,4.35,1.92,3389,3661,273,Car,2,409.82,36.52,38.23,37.69,71.25,1.92,15.93,0
133,16.78,2.50,3406,3842,437,Truck,2,410.95,22.95,23.96,23.57,69.71,3.03,-1.00,0
134,4.35,2.02,3427,3700,274,Car,2,410.61,34.58,39.26,37.61,53.36,1.44,20.90,0
135,4.19,1.82,3447,3765,319,Car,1,407.78,30.91,33.24,32.07,291.54,8.78,-1.00,0
136,4.65,2.02,3451,3730,280,Car,2,411.39,34.33,39.18,36.89,28.89,0.84,-1.00,0
137,4.55,1.82,3455,3761,307,Car,2,410.50,30.82,35.41,33.56,9.61,0.30,2.65,1
138,4.75,1.92,3515,3793,279,Car,2,402.47,35.48,36.78,36.22,49.78,1.36,14.71,0
139,9.10,2.50,3542,3980,439,Truck,1,405.59,22.89,23.33,23.16,9.87,0.42,-1.00,0
140,4.04,1.92,3567,3880,314,Car,1,408.61,32.27,32.98,32.65,144.57,4.43,85.86,1
141,4.45,1.92,3582,3937,356,Car,2,410.63,27.38,29.76,28.93,102.49,3.59,22.10,0
142,4.65,2.02,3583,3903,321,Car,1,409.08,31.31,33.45,31.97,16.32,0.49,32.50,1
143,4.55,1.92,3595,3900,306,Car,1,409.48,31.91,36.16,33.58,9.16,0.28,11.47,0
144,12.03,2.50,3606,4047,442,Truck,1,407.15,23.00,23.18,23.09,48.36,2.10,260.42,0
145,4.95,2.02,3614,3924,311,Car,1,399.86,31.31,32.76,32.26,19.08,0.58,59.06,1
146,16.98,2.50,3646,4079,434,Truck,1,385.27,21.52,23.52,22.26,19.44,0.84,-1.00,0
147,5.96,2.22,3654,3918,265,Car,2,408.33,37.87,39.49,38.70,175.79,4.55,57.64,0
148,4.14,1.82,3670,3963,294,Car,1,406.15,34.14,35.06,34.68,48.60,1.39,15.77,0
149,4.75,1.92,3679,3950,272,Car,2,409.12,36.92,38.37,37.76,35.82,0.95,-1.00,0
150,4.75,2.12,3713,4012,300,Car,1,400.10,32.59,33.82,33.47,55.39,1.64,-1.00,0
151,5.26,2.32,3752,4049,298,Car,1,407.11,33.53,35.07,34.28,35.67,1.06,32.37,0
152,3.64,1.82,3758,4031,274,Car,2,411.31,37.18,38.27,37.69,138.56,3.66,13.28,0
153,4.35,1.92,3770,4065,296,Car,1,407.67,33.83,35.61,34.57,17.51,0.51,36.07,0
154,12.63,2.50,3788,4197,410,Truck,1,404.97,24.58,24.89,24.77,83.35,3.37,29.94,0
155,6.06,2.63,3805,4100,296,Car,1,406.11,33.69,35.54,34.43,41.53,1.19,162.74,0
156,4.45,1.92,3852,4247,396,Car,1,406.42,23.56,28.90,25.73,39.42,1.57,14.57,0
157,6.06,2.53,3876,4157,282,Car,1,405.33,34.96,36.29,36.09,75.60,2.10,30.56,0
158,4.45,1.92,3891,4169,279,Car,2,409.14,35.97,37.16,36.81,193.60,5.38,-1.00,0
159,4.24,1.82,3907,4180,274,Car,2,409.35,36.89,38.06,37.51,341.69,9.25,4040.23,0
160,3.33,1.82,3990,4253,264,Car,1,405.51,38.26,38.81,38.57,143.24,3.72,40.28,0
161,4.35,1.92,3990,4328,339,Car,2,410.37,30.08,30.55,30.37,118.72,3.94,-1.00,1
162,3.44,1.82,4018,4280,263,Car,1,401.82,37.96,38.50,38.36,42.11,1.10,683.97,0
163,4.75,2.02,4027,4340,314,Car,2,402.52,29.34,33.35,32.17,18.62,0.56,6.54,1
164,18.49,2.50,4036,4468,433,Truck,2,408.95,23.20,23.96,23.68,30.30,1.28,-1.00,0
165,4.24,1.82,4076,4349,274,Car,1,400.34,36.47,36.86,36.68,151.58,4.13,11.69,0
166,16.78,2.50,4085,4521,437,Truck,2,409.28,22.68,24.16,23.48,28.28,1.24,-1.00,0
167,4.19,1.82,4114,4453,340,Car,2,408.84,28.86,31.44,30.17,99.98,3.46,-1.00,0
168,4.35,2.22,4278,4514,237,Car,1,402.76,42.27,43.19,42.71,395.00,9.15,75.88,0
169,12.03,2.50,4286,4707,422,Truck,2,407.99,23.64,24.58,24.23,171.61,7.04,455.14,0
170,13.14,2.50,4328,4770,443,Truck,1,405.51,22.77,23.03,22.94,30.09,1.30,-1.00,0
171,4.55,2.02,4336,4664,329,Car,1,407.91,30.95,31.16,31.10,26.33,0.84,-1.00,1
172,4.70,1.92,4341,4627,287,Car,2,410.11,35.68,36.01,35.87,245.19,6.84,52.58,0
173,3.84,1.82,4393,4633,241,Car,1,400.93,41.25,43.21,41.79,22.94,0.55,2.26,1
174,4.14,1.92,4412,4710,299,Car,2,408.65,33.05,35.84,34.31,46.98,1.35,4.59,1
175,5.05,2.02,4589,4827,239,Car,2,408.22,42.45,43.40,42.91,195.95,4.61,27.30,0
176,16.88,2.50,4675,5071,397,Truck,1,385.54,24.16,24.45,24.35,74.19,3.03,179.17,0
177,4.04,1.82,4677,4932,256,Car,1,404.93,39.01,40.14,39.72,-1.00,-1.00,-1.00,1
178,4.95,1.92,4708,4941,234,Car,1,405.90,43.23,44.35,43.58,24.43,0.56,7.33,0
179,18.90,2.50,4746,5182,437,Truck,2,407.75,23.00,23.59,23.39,-1.00,-1.00,-1.00,0
180,4.85,2.12,4842,5046,205,Car,1,406.32,48.43,50.98,49.83,208.36,4.17,37.60,0
181,18.09,2.50,4867,5276,410,Truck,2,386.20,22.93,23.96,23.61,94.35,3.95,152.62,0
182,4.04,1.92,4882,5111,230,Car,1,408.88,44.34,44.78,44.66,75.00,1.69,-1.00,0
183,4.75,2.22,4935,5270,336,Car,2,401.20,29.03,30.68,29.95,-1.00,-1.00,-1.00,0
184,16.78,2.50,4940,5325,386,Truck,1,384.03,24.74,25.14,24.95,236.26,9.43,272.72,0
185,16.78,2.50,4942,5387,446,Truck,2,408.21,22.45,23.88,22.94,51.80,2.30,-1.00,0
186,4.04,2.32,4951,5179,229,Car,1,404.90,43.38,45.20,44.42,114.81,2.55,257.47,0
187,5.46,2.43,4955,5295,341,Car,2,408.99,29.35,30.85,30.08,17.66,0.58,62.32,0
188,3.74,1.82,4974,5316,343,Car,2,408.53,28.73,30.92,29.88,18.26,0.62,45.65,0
189,5.15,2.12,5002,5339,338,Car,2,401.59,29.64,30.31,29.81,25.08,0.84,26.13,0
190,14.15,2.50,5007,5444,438,Truck,2,408.42,22.96,23.68,23.37,38.71,1.64,62.11,0
191,3.84,1.82,5064,5501,438,Car,2,409.39,21.93,24.04,23.42,50.34,2.16,118.57,0
192,4.30,1.82,5123,5419,297,Car,2,407.80,33.81,34.72,34.46,98.49,2.83,22.35,0
193,7.07,2.50,5154,5498,345,Truck,2,406.11,29.32,29.86,29.53,34.77,1.18,-1.00,0
194,3.94,1.82,5225,5545,321,Car,2,408.34,30.17,32.89,31.92,51.70,1.70,19.71,0
195,4.55,1.82,5325,5621,297,Car,2,408.88,34.30,34.77,34.55,100.07,2.90,23.17,0
196,4.55,1.92,5344,5663,320,Car,1,408.93,31.30,32.46,32.04,-1.00,-1.00,-1.00,0
197,4.55,1.92,5360,5652,293,Car,1,411.15,34.66,36.42,35.24,-1.00,-1.00,-1.00,0
198,4.85,2.12,5376,5685,310,Car,2,408.34,32.22,33.63,33.05,240.01,7.28,26.93,0
199,16.67,2.50,5409,5835,427,Truck,1,408.74,23.74,24.12,23.99,28.15,1.17,-1.00,0
200,4.85,2.02,5413,5729,317,Car,2,409.07,30.13,33.17,32.38,42.49,1.28,1626.39,1
201,16.57,2.50,5437,5870,434,Truck,2,408.69,23.20,24.12,23.61,47.05,2.01,-1.00,0
202,4.75,2.02,5451,5744,294,Car,2,409.11,32.26,37.21,34.93,45.75,1.33,39.76,0
203,4.24,1.92,5456,5755,300,Car,1,403.26,32.50,34.82,33.74,132.02,3.79,-1.00,1
204,16.78,2.50,5504,5940,437,Truck,2,409.62,22.80,24.00,23.49,45.94,2.01,-1.00,0
205,7.07,2.43,5511,5830,320,Car,2,410.60,31.38,33.50,32.20,72.51,2.31,-1.00,0
206,4.75,2.02,5538,5860,323,Car,2,409.51,30.40,32.75,31.82,29.26,0.94,30.06,0
207,4.35,1.82,5585,5918,334,Car,2,410.18,29.51,31.79,30.81,53.47,1.81,-1.00,0
208,4.04,1.82,5593,5825,233,Car,1,403.08,42.87,44.35,43.47,145.16,3.33,13.90,0
209,4.85,2.02,5636,5874,239,Car,1,400.56,41.68,42.47,42.10,67.89,1.62,3.80,2
210,11.93,2.50,5638,6043,406,Truck,1,392.62,24.00,24.41,24.24,17.79,0.74,485.43,0
211,16.98,2.50,5642,6073,432,Truck,2,408.44,22.76,24.11,23.69,112.10,4.73,827.28,0
212,3.84,1.82,5657,5983,327,Car,2,410.06,29.95,32.10,31.46,79.50,2.47,154.82,0
213,13.85,2.73,5681,6109,429,Car,1,410.19,23.14,24.70,23.97,27.63,1.13,81.82,0
214,5.96,2.32,5689,6031,343,Car,2,410.80,28.59,31.37,30.04,32.53,1.13,-1.00,0
215,3.94,1.82,5691,6012,322,Car,1,404.35,28.26,33.48,31.50,159.94,4.90,-1.00,1
216,4.04,2.02,5726,6060,335,Car,1,403.07,29.57,30.34,30.19,35.42,1.19,131.92,0
217,3.84,1.82,5799,6136,338,Car,2,410.53,29.87,30.58,30.47,122.89,4.02,299.35,0
218,4.55,2.12,5801,6193,393,Car,1,401.56,24.45,27.41,25.61,85.33,3.46,35.95,0
219,7.38,2.43,5816,6268,453,Car,2,411.91,22.49,23.22,22.79,17.84,0.78,-1.00,0
220,4.65,2.12,5822,6118,297,Car,1,407.40,33.71,35.11,34.43,67.80,2.00,19.04,0
221,4.85,2.02,5849,6192,344,Car,2,411.87,29.00,30.42,30.03,55.81,1.92,21.94,1
222,4.75,1.92,5869,6211,343,Car,2,411.46,27.59,33.10,30.09,18.32,0.66,55.67,0
223,12.03,2.50,5896,6339,444,Truck,2,408.95,21.78,24.17,23.09,57.37,2.39,76.40,0
224,4.75,2.02,5909,6158,250,Car,1,409.46,39.84,41.53,41.13,58.12,1.43,8.67,0
225,4.45,2.02,5915,6250,336,Car,1,408.74,28.30,32.32,30.51,54.27,1.87,12.06,0
226,5.05,2.02,5942,6262,321,Car,2,410.17,31.71,32.76,32.07,58.35,1.82,16.30,0
227,3.54,1.72,5967,6281,315,Car,2,411.39,31.72,33.49,32.77,19.98,0.62,15.04,0
228,16.88,2.50,5973,6421,449,Truck,2,407.90,22.23,23.31,22.77,49.21,2.20,4695.82,0
229,4.04,1.92,5974,6301,328,Car,1,410.70,30.76,32.08,31.42,57.97,1.87,22.36,0
230,4.55,1.92,5997,6285,289,Car,1,409.92,33.92,36.20,35.61,142.50,4.20,-1.00,0
231,11.93,2.50,6013,6435,423,Truck,2,394.05,22.67,24.01,23.36,14.63,0.63,14.48,0
232,4.35,2.02,6017,6307,291,Car,1,408.29,34.06,36.34,35.21,20.45,0.60,51.38,0
233,16.88,2.50,6034,6427,394,Truck,1,385.66,24.21,24.79,24.54,56.94,2.31,-1.00,0
234,5.15,2.22,6069,6362,294,Car,1,409.64,33.93,35.24,34.97,66.64,1.89,77.37,0
235,16.67,2.50,6091,6524,434,Truck,2,409.76,23.01,24.07,23.67,49.67,2.13,59.20,0
236,4.45,2.12,6108,6400,293,Car,1,408.32,34.72,35.76,34.98,47.97,1.36,59.91,0
237,3.49,1.72,6140,6425,286,Car,1,409.65,35.28,36.43,35.95,33.36,0.92,21.06,0
238,4.95,2.02,6150,6458,309,Car,2,410.85,32.87,33.70,33.37,232.91,6.98,142.58,0
239,4.85,2.12,6195,6495,301,Car,1,408.98,33.51,34.39,34.10,72.79,2.13,-1.00,0
240,5.05,2.22,6223,6522,300,Car,1,408.73,33.58,36.07,34.19,33.02,0.96,18.01,0
241,16.67,2.50,6236,6660,425,Truck,2,408.10,23.94,24.36,24.07,115.37,4.81,121.15,0
242,9.50,2.50,6244,6669,426,Truck,1,405.81,23.60,24.06,23.88,196.84,8.21,-1.00,0
243,3.54,1.82,6272,6562,291,Car,2,408.65,34.50,35.59,35.25,145.14,4.08,79.08,0
244,5.15,2.22,6296,6584,289,Car,2,410.49,35.11,36.03,35.65,25.94,0.72,22.19,0
245,4.14,1.92,6308,6604,297,Car,1,409.54,34.02,35.33,34.61,106.47,3.10,89.83,0
246,16.98,2.50,6311,6743,433,Truck,1,407.13,23.21,23.83,23.57,48.01,2.04,2068.80,0
247,6.77,2.93,6318,6766,449,Car,2,411.76,22.38,23.38,22.98,74.17,3.31,-1.00,0
248,5.56,2.02,6321,6608,288,Car,2,412.35,34.92,36.62,35.94,27.04,0.76,26.71,0
249,4.14,2.02,6339,6638,300,Car,1,406.55,33.53,34.75,34.01,37.33,1.11,-1.00,0
250,4.85,2.07,6370,6673,304,Car,1,409.90,33.47,34.32,33.84,37.54,1.11,76.69,0
251,16.78,2.50,6388,6818,431,Truck,1,407.54,23.46,23.82,23.70,54.03,2.30,144.67,0
252,4.35,2.02,6402,6714,313,Car,1,408.20,31.37,33.72,32.73,37.29,1.19,-1.00,0
253,4.65,1.92,6428,6738,311,Car,1,408.86,30.96,33.90,33.00,27.56,0.83,25.28,0
254,4.35,1.92,6430,6696,267,Car,2,410.45,36.37,40.42,38.60,136.66,3.46,29.94,0
255,4.65,1.92,6452,6723,272,Car,2,403.01,35.86,39.15,37.20,28.11,0.78,-1.00,0
256,4.35,1.92,6462,6814,353,Car,2,403.14,27.79,30.57,28.65,61.69,2.07,9.64,0
257,14.05,2.50,6463,6893,431,Truck,1,407.54,23.53,23.80,23.70,57.04,2.41,288.29,0
258,6.47,2.50,6473,6816,344,Truck,1,406.51,28.87,30.74,29.64,48.06,1.66,-1.00,0
259,4.85,2.02,6489,6766,278,Car,2,409.73,35.44,38.82,37.00,46.90,1.32,-1.00,0
